Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-51844,64020,Elevation 17 Timberline,169435,NORCO 17 White,Elevation 17 Timberline,"25-21, 25-19"
-51846,64020,Elevation 17 Timberline,125122,Excel NW 17-1 Lux,Elevation 17 Timberline,"25-10, 25-21"
-51849,64020,Elevation 17 Timberline,202114,Club V 17 Red Austin,Elevation 17 Timberline,"24-26, 25-17, 15-9"
-51875,64020,Elevation 17 Timberline,199684,FCA One 17s,Elevation 17 Timberline,"25-21, 25-19"
-51642,125122,Excel NW 17-1 Lux,182988,VC Denver 17 Black,VC Denver 17 Black,"25-23, 25-18"
-51845,202114,Club V 17 Red Austin,125122,Excel NW 17-1 Lux,Excel NW 17-1 Lux,"17-25, 25-19, 16-14"
-51848,169435,NORCO 17 White,125122,Excel NW 17-1 Lux,Excel NW 17-1 Lux,"25-16, 25-18"
-51874,182988,VC Denver 17 Black,125122,Excel NW 17-1 Lux,Excel NW 17-1 Lux,"25-23, 21-25, 17-15"
-51669,199684,FCA One 17s,202114,Club V 17 Red Austin,Club V 17 Red Austin,"25-19, 22-25, 15-8"
-51850,182988,VC Denver 17 Black,199684,FCA One 17s,FCA One 17s,"25-21, 16-25, 15-11"
-51869,199684,FCA One 17s,20908,Momentum 18 Jen,FCA One 17s,"17-25, 25-13, 15-12"
-51868,47876,Excel NW 18-1 Lux,182988,VC Denver 17 Black,VC Denver 17 Black,"25-19, 25-15"
-51651,20908,Momentum 18 Jen,169435,NORCO 17 White,Momentum 18 Jen,"25-16, 25-14"
-51838,20908,Momentum 18 Jen,47876,Excel NW 18-1 Lux,Excel NW 18-1 Lux,"25-23, 25-22"
-51796,202114,Club V 17 Red Austin,20908,Momentum 18 Jen,Momentum 18 Jen,"25-0, 25-0"
-51794,47876,Excel NW 18-1 Lux,20908,Momentum 18 Jen,Momentum 18 Jen,"25-22, 26-24"
-51795,47876,Excel NW 18-1 Lux,169435,NORCO 17 White,Excel NW 18-1 Lux,"25-5, 25-9"
-51847,202114,Club V 17 Red Austin,169435,NORCO 17 White,Club V 17 Red Austin,"25-19, 25-12"
