TeamCode,TeamName,2026NIT,Power Pool Jotform,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11
g12storm1az,ARIZONA STORM 12 THUNDER,Yes,NO,,37 (11 National),,,,2 (12 Girls),,,,,,,,,,,,,,,,,,,,,,
g13storm1az,ARIZONA STORM 13 THUNDER,Yes,YES,17 (12 & Under),13 (12 National),,,,11 (14 Open),,,,,,,,,,,,,,,,,,,,,,
g14storm1az,ARIZONA STORM 14 THUNDER,Yes,YES,3 (13 & Under),6 (13 Open),,,,1 (14 Open),,,,,,,,,,,,,,,,,,,,,,
g15storm2az,ARIZONA STORM 15LIGHTNING,Yes,NO,,,27 (14 National),,,25 (15/16 Open),,,,,,,,,,,,,,,,,,,,,,
g15storm1az,ARIZONA STORM 15 THUNDER,Yes,YES,5 (14 & Under),,5 (14 Open),,,2 (15/16 Open),,,,,,,,,,,,,,,,,,,,,,
g15aspir1az,Aspire 15 Alpha,Yes,YES,85 (14 & Under),,13 (14 USA),,,5 (15/16 Open),,,,,,,,,,,,,,,,,,,,,,
g16aspir1az,Aspire 16 Alpha,Yes,YES,42 (15 & Under),,5 (15 National),,,3 (15/16 Open),,,,,,,,,,,,,,,,,,,,,,
g17aspir1az,Aspire 17 Alpha,Yes,YES,121 (16 & Under),,13 (16 National),,,8 (17/18 Open),,,,,,,,,,,,,,,,,,,,,,
g17athen1ce,ATHENA VB 17-1 Gold National,Yes,NO,118 (16 & Under),,7 (16 Liberty),,,,,,,,,,,,,,,,,,,,,,,,,
g16athen1ce,ATHENA VB 16-1 Gold National,Yes,NO,124 (15 & Under),,50 (15 American),,,,,,,,,,,,,,,,,,,,,,,,,
g15athen1ce,ATHENA VB 15-1 Gold National,Yes,NO,,,13 (14 Freedom),,,,,,,,,,,,,,,,,,,,,,,,,
g14athen1ce,ATHENA VB 14-1 Gold National,Yes,YES,,33 (13 National),,,,,,,,,,,,,,,,,,,,,,,,,,
