b18highv1ha,,,,26 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Highlands 18-Behney
b18hvavc1fl,,,,,,,17th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18jammr1cr,,,,,19 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Jammers 18 Black Boys
b18jaxjr1fl,,,,,,,1st (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18jaxjr2fl,,,,,,,19th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18kevbc1gw,,,,10 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,K Elites VBC B18 Navy
b18lnvbc1cr,,,,,11 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,LKN 18 Boys
b18mavsb1ha,,,,3 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 18 Red
b18mmvbc1ha,,,,9 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Manhattan Mayhem 18-1
b18mnsel2no,,,,5 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 18-2
b18mnsel3no,,,,12 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 18-3
b18mnsel4no,,,,19 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 18-Black
b18mnsel5no,,,,16 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 18-Gray
b18msprt1ov,,,,,,,,,,,,9 (18 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.81
b18msprt2ov,,,,,,,,,,,,27 (18 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.82
b18muted1fl,,,,,,,3rd (B18 Open),,,,,,,,,,,,,,,,,,,,,,
b18muted2fl,,,,,,,4th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18nextv2ov,,,,,,,,,,,,25 (18 Boys),,,,,,,,,,,,,,,,,Next 18xRoyal
b18nivbc1gc,,,,,,,11th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18nosvb1ha,,,,22 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Northland Static 18-1
b18nsscv1gw,,,,8 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,NSSC Boy's 18 Nike
b18obvbc1fl,,,,,,,5th (B18 Open),,,,,,,,,,,,,,,,,,,,,,
