g12akiva2pr,Adidas KIVA 12 White,,,,,,,7 (12 Open),,,2 (12 Premier),None (12 Girls Full Schedule),,,13 (11 Club),,,,,,,,
g12akiva3pr,Adidas KIVA 12 Black,,,,,,,3 (12 Club),,,3 (12 Club Red),None (12 Girls Full Schedule),,,,,,,,,,,
g12alamo1ls,Alamo 12 Premier,,,,,,,,3 (12 National),,,,,,,,,,,,,,
g12alamo2ls,Alamo 12 Elite,,,,,,,,9 (12 National),,,,,,,,,,,,,,
g12alamo3ls,Alamo 12 Gold,,,,,,,,11 (12 National),,,,,,,,,,,,,,
g12allvb1so,Alliance 12 REN,,,,,,,,,,13 (12 Open),,,,,,,,,,,,
g12alper1pr,Alpha A.21,,,,,,,,,,21 (12 Club Blue),,,,,,,,,,,,
g12aperf1ls,AP 12 adidas,,3 (11 National),,,,,,1 (12 National),,,,,,,,,,,,,,
g12aperf2ls,AP 12 Baden,,,,,,,,7 (12 National),,,,,,,,,,,,,,
g12arete1nt,Areté 12 Navy Telos,,19 (11 National),,,,,,,,,,,,,,,,,,,,
g12arsnl1lk,AVBC 12 National,,,,7 (12 Club),,,,,,,,,,,,,,,,,,
g12arvbc1ov,AVA-12N Poh,,,,,,,1 (12 Club),,,1 (12 Club Red),,,,,,,,,,,,
g12arvbc2ov,AVA-12N Maurer,,,,,,,11 (12 Club),,,9 (12 Club Blue),,,,,,,,,,,,
g12arvca1su,ARVC 12N1 Adidas,,34 (11 National),,,,,,,,,,,,,,,,,,,,
g12askyl1ls,Austin Skyline 12 Royal,,,,,,,,7 (12 National),,,,,,,,,,,,,,
g12blcsh1pr,CVC 12U Elite,,,,,,,,,,24 (12 Club Blue),,,,,,,,,,,,
g12bluvb1lk,Blue 12-1,,,,,,,,,,9 (12 Club Red),,,,,,,,,,,,
g12bossc1ov,Boss CLE 12-1,,,,2 (12 Open),,,,,,,,,,,,,,,,,,
g12bossc2ov,Boss CLE 12-2,,,,1 (12 Club),,,,,,,,,,,,,,,,,,
g12bsvbc1ov,Black Swamp 121,,,,11 (12 Open),,,,,,19 (12 Premier),,,,,,,,,,,,
g12capco1fl,Cape Coast 12 CASSINI,,,,,,,,,,,,,,40 (11 Club),,,,,,,,
g12ccity1ho,Circle City 12 Purple,,31 (11 National),,,,,,,,5 (12 Open),,,,,,,,,,,,
g12ccity2ho,Circle City 12 Black,,,,,,,,,,13 (12 Premier),,,,,,,,,,,,
g12ccity3ho,Circle City 12 White,,,,,,,,,,13 (12 Club Red),,,,,,,,,,,,
g12ccity4ho,Valley Elite 12-1,,,,,,,,,,13 (12 Premier),,,,,,,,,,,,
g12ccrsh1ov,Cincy Crush 12-1,,,,,,,,,,3 (12 Club Blue),,,,,,,,,,,,
g12ccvbc1ov,Cincy Classics 12 Red,,,,,,,,,,5 (12 Club Red),,,,,,,,,,,,
g12ccvbc2ov,Cincy Classics 12 Black,,,,,,,,,,23 (12 Club Red),,,,,,,,,,,,
g12ccvbc3ov,Cincy Classics 12 Gray,,,,,,,,,,22 (12 Club Blue),,,,,,,,,,,,
g12ceast1ov,CINCY EAST  12.1 Black,,,,,,,,,,15 (12 Club Blue),,,,,,,,,,,,
g12charg1ok,OK Charge 12 UA,,,,,,,,,,,,,,3 (11 Club),,,,,,,,
g12cinva1ov,CinciVB Acad 12-1,,,,,,,,,,5 (12 Club Blue),,,,,,,,,,,,
g12cinva2ov,CinciVB Acad 12-2,,,,,,,,,,17 (12 Club Red),,,,,,,,,,,,
g12clipp1ov,CYVBC Surge 12 Black,,,,,,,,,,9 (12 Premier),,,,,,,,,,,,
g12clmnt1sc,San Clemente 12-Riley,,,,,,,,,,,,,,,,15th (12U Event #1),,,,,,
